  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,CO2, seasonally
1958,3,21259,1958.2027,315.7,314.44,316.18,314.9,315.7,314.44
1958,4,21290,1958.2877,317.45,315.16,317.29,314.98,317.45,315.16
1958,5,21320,1958.3699,317.51,314.71,317.86,315.06,317.51,314.71
1958,6,21351,1958.4548,-99.99,-99.99,317.24,315.14,317.24,315.14
1958,7,21381,1958.537,315.86,315.19,315.86,315.21,315.86,315.19
1958,8,21412,1958.6219,314.93,316.19,313.99,315.28,314.93,316.19
1958,9,21443,1958.7068,313.21,316.08,312.45,315.35,313.21,316.08
1958,10,21473,1958.789,-99.99,-99.99,312.43,315.4,312.43,315.4
1958,11,21504,1958.874,313.33,315.2,313.61,315.46,313.33,315.2
1958,12,21534,1958.9562,314.67,315.43,314.76,315.51,314.67,315.43
1959,1,21565,1959.0411,315.58,315.54,315.62,315.57,315.58,315.54
1959,2,21596,1959.126,316.49,315.86,316.26,315.63,316.49,315.86
1959,3,21624,1959.2027,316.65,315.38,316.97,315.69,316.65,315.38
1959,4,21655,1959.2877,317.72,315.42,318.08,315.76,317.72,315.42
1959,5,21685,1959.3699,318.29,315.49,318.65,315.84,318.29,315.49
1959,6,21716,1959.4548,318.15,316.03,318.04,315.93,318.15,316.03
1959,7,21746,1959.537,316.54,315.86,316.67,316.02,316.54,315.86
1959,8,21777,1959.6219,314.8,316.06,314.82,316.12,314.8,316.06
1959,9,21808,1959.7068,313.84,316.73,313.31,316.21,313.84,316.73
1959,10,21838,1959.789,313.33,316.33,313.32,316.3,313.33,316.33
1959,11,21869,1959.874,314.81,316.68,314.54,316.39,314.81,316.68
1959,12,21899,1959.9562,315.58,316.35,315.72,316.47,315.58,316.35
1960,1,21930,1960.041,316.43,316.39,316.61,316.55,316.43,316.39
1960,2,21961,1960.1257,316.98,316.35,317.27,316.64,316.98,316.35
1960,3,21990,1960.2049,317.58,316.28,318.02,316.71,317.58,316.28
1960,4,22021,1960.2896,319.03,316.7,319.14,316.79,319.03,316.7
1960,5,22051,1960.3716,320.04,317.22,319.68,316.86,320.04,317.22
1960,6,22082,1960.4563,319.58,317.48,319.01,316.92,319.58,317.48
1960,7,22112,1960.5383,318.18,317.52,317.6,316.97,318.18,317.52
1960,8,22143,1960.623,315.9,317.2,315.68,317.01,315.9,317.2
1960,9,22174,1960.7077,314.17,317.08,314.12,317.04,314.17,317.08
1960,10,22204,1960.7896,313.83,316.83,314.08,317.07,313.83,316.83
1960,11,22235,1960.8743,315,316.88,315.25,317.1,315,316.88
1960,12,22265,1960.9563,316.19,316.96,316.39,317.15,316.19,316.96
1961,1,22296,1961.0411,316.9,316.85,317.25,317.2,316.9,316.85
1961,2,22327,1961.126,317.7,317.07,317.9,317.26,317.7,317.07
1961,3,22355,1961.2027,318.54,317.26,318.62,317.33,318.54,317.26
1961,4,22386,1961.2877,319.48,317.16,319.75,317.41,319.48,317.16
1961,5,22416,1961.3699,320.58,317.76,320.32,317.5,320.58,317.76
1961,6,22447,1961.4548,319.77,317.63,319.71,317.59,319.77,317.63
1961,7,22477,1961.537,318.57,317.88,318.33,317.67,318.57,317.88
1961,8,22508,1961.6219,316.79,318.06,316.45,317.76,316.79,318.06
1961,9,22539,1961.7068,314.99,317.9,314.92,317.84,314.99,317.9
1961,10,22569,1961.789,315.31,318.32,314.92,317.92,315.31,318.32
1961,11,22600,1961.874,316.1,317.99,316.12,317.99,316.1,317.99
1961,12,22630,1961.9562,317.01,317.78,317.3,318.05,317.01,317.78
1962,1,22661,1962.0411,317.94,317.9,318.18,318.12,317.94,317.9
1962,2,22692,1962.126,318.55,317.92,318.83,318.19,318.55,317.92
1962,3,22720,1962.2027,319.68,318.4,319.55,318.25,319.68,318.4
1962,4,22751,1962.2877,320.57,318.24,320.66,318.32,320.57,318.24
1962,5,22781,1962.3699,321.02,318.18,321.22,318.38,321.02,318.18
1962,6,22812,1962.4548,320.62,318.47,320.57,318.45,320.62,318.47
1962,7,22842,1962.537,319.61,318.93,319.16,318.5,319.61,318.93
1962,8,22873,1962.6219,317.4,318.68,317.24,318.55,317.4,318.68
1962,9,22904,1962.7068,316.25,319.17,315.66,318.6,316.25,319.17
1962,10,22934,1962.789,315.42,318.44,315.62,318.64,315.42,318.44
1962,11,22965,1962.874,316.69,318.58,316.8,318.68,316.69,318.58
1962,12,22995,1962.9562,317.7,318.47,317.96,318.72,317.7,318.47
1963,1,23026,1963.0411,318.74,318.7,318.81,318.76,318.74,318.7
1963,2,23057,1963.126,319.07,318.43,319.45,318.81,319.07,318.43
1963,3,23085,1963.2027,319.86,318.57,320.15,318.85,319.86,318.57
1963,4,23116,1963.2877,321.38,319.05,321.26,318.91,321.38,319.05
1963,5,23146,1963.3699,322.25,319.4,321.8,318.96,322.25,319.4
1963,6,23177,1963.4548,321.48,319.33,321.14,319.01,321.48,319.33
